device,model,backend,phase,stage,prompt_tokens,decode_tokens,context,n_threads,fit_mode,total_us,mean_us,min_us,max_us,stddev_us,count,json_path,log_path
db6c02cf,qwen2_0.5b,cpu,prefill,PHASE_TOTAL,16,16,512,1,off,155393.96,155393.96,155393.96,155393.96,0.00,1,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,prefill,Attn_Proj,16,16,512,1,off,4676.25,194.84,187.34,259.43,14.01,24,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,prefill,KV_Cache,16,16,512,1,off,2978.23,124.09,118.59,133.33,3.38,24,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,prefill,Attn_Core,16,16,512,1,off,7498.07,312.42,301.93,350.78,9.87,24,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,prefill,FFN_Block,16,16,512,1,off,140241.41,5843.39,1983.85,91943.49,18339.74,24,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,decode,PHASE_TOTAL,16,16,512,1,off,1349066.67,84316.67,84316.67,84316.67,0.00,16,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,decode,Attn_Proj,16,16,512,1,off,347977.03,906.19,857.50,3930.16,155.28,384,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,decode,KV_Cache,16,16,512,1,off,626349.74,1631.12,1508.44,8966.25,376.31,384,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,decode,Attn_Core,16,16,512,1,off,42883.48,111.68,87.50,193.12,13.54,384,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,cpu,decode,FFN_Block,16,16,512,1,off,331856.42,864.21,751.88,1332.34,99.66,384,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.json,tmp/db6c02cf_cpu_decode_stage_p16_n16_c512_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,prefill,PHASE_TOTAL,16,16,512,1,off,155096.88,155096.88,155096.88,155096.88,0.00,1,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,prefill,Attn_Proj,16,16,512,1,off,4322.55,180.11,171.20,210.36,8.60,24,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,prefill,KV_Cache,16,16,512,1,off,6581.56,274.23,265.05,343.44,15.18,24,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,prefill,Attn_Core,16,16,512,1,off,96418.75,4017.45,780.94,78060.57,15771.13,24,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,prefill,FFN_Block,16,16,512,1,off,47774.01,1990.58,1798.49,4051.88,464.14,24,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,decode,PHASE_TOTAL,16,16,512,1,off,1697994.85,106124.68,106124.68,106124.68,0.00,16,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,decode,Attn_Proj,16,16,512,1,off,334612.44,871.39,842.97,3538.12,137.16,384,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,decode,KV_Cache,16,16,512,1,off,666676.47,1736.14,1683.38,10302.45,438.80,384,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,decode,Attn_Core,16,16,512,1,off,222611.14,579.72,564.69,620.47,8.64,384,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
db6c02cf,qwen2_0.5b,qnn-npu,decode,FFN_Block,16,16,512,1,off,474094.80,1234.62,1194.89,1404.38,16.09,384,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.json,tmp/db6c02cf_qnn_decode_stage_p16_n16_c512_env_20260322.log
