device,model,phase,backend,device_arg,cpu_mask,threads,test,prompt,ctx,batch,ubatch,ctk,ctv,mmap,repetitions,warmup,tps,log
fd8657d6,qwen2_0.5b,prefill,cpu,,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,325.29,tmp/fd8657d6_qwen2_cpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,cpu,,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,329.79,tmp/fd8657d6_qwen2_cpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,cpu,,80,1,pp512,512,2048,512,512,f16,f16,0,1,warm,267.00,tmp/fd8657d6_qwen2_cpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,gpu,GPUOpenCL,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,1360.94,tmp/fd8657d6_qwen2_gpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,gpu,GPUOpenCL,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,1773.88,tmp/fd8657d6_qwen2_gpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,gpu,GPUOpenCL,80,1,pp512,512,2048,512,512,f16,f16,0,1,warm,1343.09,tmp/fd8657d6_qwen2_gpu_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,npu,qnn-npu,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,323.28,tmp/fd8657d6_qwen2_qnn_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,npu,qnn-npu,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,325.31,tmp/fd8657d6_qwen2_qnn_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen2_0.5b,prefill,npu,qnn-npu,80,1,pp512,512,2048,512,512,f16,f16,0,1,warm,260.76,tmp/fd8657d6_qwen2_qnn_prefill_pp128_pp256_pp512_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,cpu,,80,1,pp64,64,2048,64,64,f16,f16,0,1,warm,86.75,tmp/fd8657d6_qwen3_1p7b_cpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,cpu,,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,89.07,tmp/fd8657d6_qwen3_1p7b_cpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,cpu,,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,65.95,tmp/fd8657d6_qwen3_1p7b_cpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,gpu,GPUOpenCL,80,1,pp64,64,2048,64,64,f16,f16,0,1,warm,383.59,tmp/fd8657d6_qwen3_1p7b_gpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,gpu,GPUOpenCL,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,530.85,tmp/fd8657d6_qwen3_1p7b_gpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,gpu,GPUOpenCL,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,582.85,tmp/fd8657d6_qwen3_1p7b_gpu_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,npu,qnn-npu,80,1,pp64,64,2048,64,64,f16,f16,0,1,warm,75.28,tmp/fd8657d6_qwen3_1p7b_qnn_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,npu,qnn-npu,80,1,pp128,128,2048,128,128,f16,f16,0,1,warm,66.02,tmp/fd8657d6_qwen3_1p7b_qnn_prefill_pp64_pp128_pp256_warm_20260323.log
fd8657d6,qwen3_1.7b_q8_0,prefill,npu,qnn-npu,80,1,pp256,256,2048,256,256,f16,f16,0,1,warm,65.93,tmp/fd8657d6_qwen3_1p7b_qnn_prefill_pp64_pp128_pp256_warm_20260323.log
