phase,state_name,length,run_id,n_tokens,elapsed_ms,energy_mj,status
decode,npu_burst_cap2048,512,0,64,3200,1280,ok
decode,npu_burst_cap2048,512,1,64,3360,1344,ok
decode,cpu_B2_2649,512,0,64,4000,960,ok
decode,cpu_B2_2649,512,1,64,3900,960,ok
decode,gpu_734,512,0,60,4000,1080,ok
decode,gpu_734,512,1,60,4000,1080,ok
decode,npu_balanced_cap2048,512,0,64,3000,1600,ok
decode,npu_balanced_cap2048,512,1,64,4000,1600,ok
decode,cpu_allcore_default,512,0,64,,,failed
decode,npu_burst_cap2048,1024,0,64,4000,1408,ok
decode,npu_burst_cap2048,1024,1,64,4000,1408,ok
decode,cpu_B2_2649,1024,0,64,5100,960,ok
decode,cpu_B2_2649,1024,1,64,5100,960,ok
prefill,npu_burst_cap2048,512,0,512,1000,2048,ok
prefill,npu_burst_cap2048,512,1,512,1000,2048,ok
prefill,cpu_B2_2649,512,0,512,1600,1536,ok
prefill,cpu_B2_2649,512,1,512,1600,1536,ok
